Street Name,lights
SRIRAM NAGAR,1

VALLUVAR NAGAR,14

JOTHI NAGAR 10,4

JOTHI NAGAR 9,2

JOTHI NAGAR 6,1

JOTHI NAGAR 5,10

JOTHI NAGAR 4,3

JOTHI NAGAR 3,3

JOTHI NAGAR 2,13

RAMANUJA NAGAR,19

RAMANUJA NAGAR MAIN ROAD,17

JOTHI NAGAR 1,1

HARI GARDEN ROAD,4

AKASTHIYAR NAGAR,3

JOTHI NAGAR 12,4

JOTHI NAGAR 11,3

JOTHI NAGAR 13,4

JOTHI NAGAR 7,4

K J GARDEN,13

JOTHI NAGAR 8,1

RAMASWAMY NAGAR EXTENSION,2

ALAMELU NAGAR,4

NEHRU POONGA ROAD,25

ANDALAMMAL LAYOUT,14

DHANAPAL LAYOUT SECOND STREET,8

DHANAPAL LAYOUT FIRST STREET,3

DHANAPAL LAYOUT THIRD STREET,1

KOTARAI MILL LANE,5

RELIANCE GARDEN,10

KRISHNA GARDENS,25

POLICE COLONY SECOND STREET,4

POLICE COLONY THIRD STREET,3

VENKATESHA NAGAR,9

KANGUWAR FIRST STREET,3

KANGUWAR STREET,10

ANGAVARLI STREET,5

VARADARAJA KOVIL STREET,3

N G R STREET,67

N.K.G.NAGAR,24

JAYA NAGAR,17

DHANAPAL LAYOUT FOURTH STREET,1

VARADHARAJAPURAM NORTH STREET 1,5

IYAR LAYOUT FOURTH STREET,3

IYAR LAYOUT EIGHTH STREET,5

